,pcomment
0,['감사하다 원장 보호자 원장 감사하다 엄마 이다 병원 친절하다 해주시 수술 정말 깔다 금 해주다 감사하다 앞 병원 갈다 저희 예쁘다 해주다 감사하다']
1,['만족 후기 만족스럽다 후기 올리다 처음 사실 다른 동물병원 이용 하다 하다 마이 펫 플러스 전화 하다 병원 추천 해달라다 하다 저리 타 동물병원 이용 하다 하다 수술 날짜 밀리다 마펫 직원 자궁 축농증 응급 마찬가지 수술 하다 하다 하다 그거 구매 취소 하다 집 가깝다 여기 선택 하다 후기 하나 없다 걱정 하다 입점 한지 얼마 안 돼다 없다 뿐 하다 생각 헤 보다 자기 동물병원 이름 걸다 수술 올리다 원장 어디 있다 마펫 믿다 구매 방문 하다 여기 방문 후기 이다 병원 외관 우선 정말 깨끗하다 허름 것 외관 깨끗하다 더 신뢰 가다 저 생각 거들다 아이 나이 많다 혹시 혈액 검사 결과 안 좋다 수술 진행 하다 하다 다행하다 혈액 검사 결과 좋다 수술 바로 진행 하다 입원 이틀 시키다 내복약 받다 오다 수술 부위 깔끔하다 아물다 있다 처음 힘 집 오다 기운 못 차리다 노견 견주 입장 걱정 하다 다음 날 되다 바로 기력 찾다 밥 자다 먹다 똥 자다 싸다 약 자다 안 먹다 먹이 있다 마펫 원장 정말 감사하다 이 후기 보시 분 믿다 맡다 좋다']
2,['']
3,['']
4,['원장 감사하다 애기 마취 하다 게 싫다 민간요법 약 먹이다 잘못 이다 같다 급하다 마이 펫 플러스 들어오다 가깝다 동물병원 데리 오다 그게 사랑 동물병원 이다 제 눈물 범벅 정신 없다 자다 기억 안 나 결과 만족 이다 지금 강아지 건강하다 산책 나가다 소변 자다 보다 입원 혹시 모르다 이틀 정도 추가 하다 하루 충분하다 같다 해 그냥 제 조바심 이틀 추가 하다 안 보 미안하다 미치다 원장 정말 감사하다']
5,['']
6,"['감사하다 울 애기 갑자기 진물 계속 나오다 놀래다 들다 치다 업다 뛰다 자궁 축농증 하다 평소 강 카페 보다 마이 펫 플러스 들어오다 여기 가깝다 병원 깔끔하다 보 가다 수술 정말 해주다 저희 애기 예쁘다 해주시 응급 상황 며 제 치다 두다 순위 해주다 마침 당일 수술 없다 다행 하다 감사하다 애기 이제 막 웃다 똥꼬 발랄하다 자다 뛰다 댕겨 영양식 하다 번 만들다 먹이 더욱 아끼다 주다 있다 때 소중하다 잊다 안되다 것 같다 무지개다리 건너다 얼마나 울 걱정 하다 진짜 감사하다 마이 펫 플러스 감사하다 정말 김', '수술 차 후기 등록 자궁 축농증 알 되다 후 주변 병원 수술 비 부담스럽다 알아보다 중 마이 펫 플러스 알 되어다 집 가깝다 수술 경험 많다 같다 아이엠 병원 전화 드리다 후 다음 날 바로 수술 받다 수술 날짜 잡다 직원 친절하다 대해 주다 감사하다 수술 전 강아지 기운 없다 아프다 하다 수술 후 회복 좋다 다시 뛰어다니다 기쁘다 처음 마펫 자다 모르다 병원 선택 조금 망설이다 곳 수술 하다 정말 하다 같다 감사하다']"
7,['자궁 축농증 후기 생리 끝나다 것 같다 분비물 계속 묻다 이 뭐 싶다 찾아보다 자궁 축농증 의심 되다 다니다 병원 가다 가격 비싸다 우선 알다 하다 나오다 또 인터넷 검색 하다 여기 알 되다 들어오다 이번 또 저렴하다 뭐 싶다 사이트 찾아보다 하다 다른 병원 후기 많다 여기 없다 고민 하다 다른 병원 후기 좋다 이상하다 사이트 아니다 하다 그냥 가다 수술 정말 돼다 아이 회복 자다 돼다 의사 샘 거 저렴하다 가다 홀 대하 지도 않다 경력 많다 보이다 집 조금 거리 있다 데 가깝다 앞 크다 수술 하다 면 이 사이트 애용 하다 감사하다']
8,"['병원 깔끔하다 선생님 우리 아이 자다 보다 것 같다 믿다 수술 하다 지금 회복 기구', '수술 자다 돼다 크다 크다 수술 좋다 가격 자다 하다 것 같다']"
9,"['애기 자궁 축농증 수술 하다 원래 다니다 곳 우리 애기 자궁 축농증 진단 받다 수술 비 비사 마이 펫 플러스 카페 통해 알 돼다 처음 가격 저렴하다 의심 하다', '마이 펫 플러스 사장 통화 내 원하다 원장 대화 하다 긍정 생각 바뀌다 수술 하다 돼다 가격 정말 저렴하다 마이 펫 사장 둘리 원장 간호사 분 친절하다 우리 애기 수술 자다 돼다']"
