,hname,rname,area,comment,rating,commentcounts
0,심바동물병원,유선종양제거수술(양측),cancer,[],none,0
1,심바동물병원,경계성종양 제거수술,cancer,[],none,0
2,잠실준25시동물병원,유선종양제거수술(양측),cancer,[],none,0
3,잠실준25시동물병원,경계성종양 제거수술,cancer,[],none,0
4,해맑은동물병원,경계성종양 제거수술,cancer,[],none,0
5,마루동물병원,유선종양 제거수술(양측),cancer,[],none,0
6,사랑동물병원,유선종양 제거수술(양측),cancer,[],none,0
7,사랑동물병원,경계성종양 제거수술,cancer,[],none,0
8,형제종합동물병원,유선종양제거수술(양측),cancer,[],none,0
9,하니동물병원,경계성종양 제거수술,cancer,[],none,0
10,하니동물병원,유선종양제거수술(양측),cancer,[],none,0
11,아이비동물병원,유선종양제거수술(양측),cancer,"[' 2019-05-03\n수술잘했어요\n지방에서 올라와서 강아지 종양수술해줬네요\n저렴한 곳이 없어서 찾다가 이런 사이트가 있는지\n처음 알았는데 참 괜찮네요 병원도 설명잘해주시고~\n수술결과도 좋고 만족해요  \n김', ' 2019-05-02\n수술잘끝냈어요.\n토이푸들 여아 유선종양수술 잘 끝냈어요ㅠㅠㅠ\n아이가 잘 견뎌주고 수술결과도 좋아서 행복해요ㅠㅠㅠ\n정말 감사합니다.. 집에 데리고 왔는데 아이 컨디션도 나쁘지 않아 보여요 후처치도 깔끔하고 만족스럽네요 추천해요 정말    ']",none,2
12,닥터펫동물의료센터,경계성종양 제거수술,cancer,[' 2019-04-22\n수술 잘 끝냈어요\n설마설마하다가 마이펫플러스에 전화하고\n병원까지 방문하게 되었는데...\n그 설마가 맞더라구요ㅠㅠ\n평일에 회사 하루 쉬고 병원 다녀왔습니다\n아이 수술 잘 끝났고 이제 회복 중인데요\n조금이라도 더 늦었으면 정말 큰일났지 싶어요\n여러모로 귀찮게해드렸는데...\n매번 친절하게 대해주셔서 감사합니다'],5.0,1
13,행복한동물병원,경계성종양 제거수술,cancer,"[' 2019-04-23\n지방종 제거 수술 잘해주셔서 감사합니다\n저희 막둥이 데려온지 얼마 안되었는데\n이렇게 큰 일...이 생기게 되다니\n너무 당혹스럽고 왜 이런 일이 생긴걸까\n원망도 참 많이 했는데요,,,\n다행히 늦지 않게 수술받았고\n수술도 잘 끝났습니다ㅠㅠ\n좀 유난...스러운 보호자여서 병원에 이것저것 많이 물어보고\n괴롭...혔던 것 같은데 그때마다 잘 다독여주셔서 감사합니다\n조만간 커피 배달하러 갈게요ㅎㅎ']",none,1
14,카카오N동물병원,경계성종양 제거수술,cancer,[],none,0
15,카카오N동물병원,유선종양제거수술(양측),cancer,[],none,0
16,하니동물병원,경계성종양 제거수술,cancer,[],none,0
17,아이엠동물병원,유선종양제거수술(양측),cancer,"[' 2019-05-05\n잘 회복하고 있어요\n비용도 부담되고 수술 잘 될지도 너무 걱정됐었는데 무사히 수술 마치고 잘 회복되고 있어요~\n한달정도 지났는데 지금은 날아다니네요ㅋㅋ\n체', ' 2019-02-27\n감사합니다\n양측에 다 생겼는데 6분방 수술법으로 수술도 금방 끝나고 비용도 훨 저렴하고 애가 덜 고생한거 같아요. 이제 아프지 않았으면 ㅠㅠㅠ 진작 중성화 했으면 좋았을거라고 생각하게 되었네요ㅠㅠㅠㅠ']",5.0,2
18,우리동물병원,유선종양제거수술(양측),cancer,[],none,0
19,둘리동물병원,경계성종양 제거수술,cancer,"[' 2020-04-22\n11살 푸들 지방종제거+스켈링\n\n지방종 제거 말끔히 잘 해주시고 스켈링도 사진처럼 깔끔하게 해주셔서 감사합니다. 나이많은 아이인데도 수술 잘 되고 마취도 잘 깨어서 다행입니다. 거리가 좀 있었지만 그래도 다녀온 보람이 있네요. 번창하세요.\n한', ' 2019-10-01\n감사합니다\n피부 안에 뭐가 있어서 건강검진 받을 겸 가서 물어봤더니 경계성 종양이라고 하더라고요 꽤 예전부터 그랬다고 하니 경계성 종양 수술을 말씀하셔서 덤탱이 아닐까 싶었어요 사실.. 왜냐하면 멀쩡히 살았었으니까요.. 그래서 조금 더 알아보고 그건 결정하겠다고 하니 원장님이 흔쾌히 알겠다고 해 주셨고 집에 와서 찾아 보니 잘못되면 큰일날 것 같아서 바로 예약해서 수술시켰습니다..!! 잠시 의심했던 과거의 제가 넘 바보같네여 ㅠㅠ 친절하게 수술해 주시고 다시 웃으면서 맞이해주셔서 감사합니다~~~~~']",none,2
20,둘리동물병원,유선종양제거수술(양측),cancer,[' 2019-10-01\n미리 중성화만 했더라면 이렇게까지 수술 안했을 텐데 ㅠㅠ\n유선종양이 중성화를 안 해주면 잘 생기는 질환이라고 하더라고요.. 도덕적인 이유로 안 해 준 제 과거가 너무 원망스러워요. 다행히 실력 좋으신 원장님 만나 저희 꼬마 건강하구요..!! 정말 감사합니다..ㅠㅠ 저 때문에 꼬마가 이렇게 된 것같아 너무 속상하네요ㅠㅠ'],none,1
