,pcomment
0,['']
1,['']
2,['']
3,['']
4,['']
5,['']
6,['']
7,['']
8,['']
9,['']
10,['']
11,"['수술 하다 지방 올라오다 강아지 종양 수술 해주다 저렴하다 곳 없다 찾다 이렇다 사이트 있다 처음 알다 차다 괜찮다 병원 설명 잘해주다 수술 결과 좋다 만족하다 김', '수술 끝내다 토이 푸다 들다 여 유선 종양 수술 자다 끝내다 아이 자다 견디다 수술 결과 좋다 행복하다 정말 감사하다 집 데리 오다 아이 컨디션 나쁘다 않다 보이다 후 처치 깔끔하다 만족스럽다 추천 하다 정말']"
12,['수술 자다 끝내다 하다 마이 펫 플러스 전화하다 병원 방문 하다 되어다 그 설마 맞다 평일 회사 하루 쉬 병원 다녀오다 아이 수술 자다 끝나다 이제 회복 중 요 조금 더 늦다 정말 큰일 나다 싶다 모로 귀찮다 해드리다 매번 친절하다 대해 주다 감사하다']
13,"['지방종 제거 수술 해주다 감사하다 저희 막둥이 데려오다 얼마 안되다 크다 일 이 생기 되다 당혹스럽다 왜 이렇다 생기다 걸다 원망 차다 하다', '', '', '다행하다 늦다 않다 수술 받다 수술 자다 끝나다 좀 유난 스럽다 보호자 병원 것 것 물어보다 괴롭다 혔던 것 같다 그때 자다 다독이다 감사하다 조만간 커피 배달 하다 갈다']"
14,['']
15,['']
16,['']
17,"['자다 회복하다 있다 비용 부담 되다 수술 자다 되다 걱정 돼다 무사하다 수술 마치 자다 회복 되다 있다 달 정도 지나다 지금 날아다니다 체', '감사하다 양 생기다 술법 수술 금방 끝나다 비용 훨 저렴하다 애가 덜 고생 거 같다 이제 아프다 않다 진작 중성 하다 좋다 생각 하다 되어다']"
18,['']
19,"['살 푸다 들다 지방종 제거 스켈링 지방종 제거 자다 해주시 스켈링 사진 깔끔하다 해주다 감사하다 나이 많다 아이 도 수술 자다 되다 마취 자다 깨다 다행 이다 거리 좀 있다 다녀오다 보람 있다 번창 하다 하다', '감사하다 피부 안 뭐 있다 건강검진 받다 겸 가다 물어보다 경계 종양 하다 꽤 예전 하니 경계 종양 수술 말씀 하다 덤탱이 아니다 싶다 사실 멀쩡하다 살다 요 조금 더 알아보다 결정 하다 하니 원장 흔쾌하다 알다 해 주다 집 오다 찾다 보다 되다 큰일 날 것 같다 바로 예약 하다 수술 시키다 잠시 의심 하다 과거 제 넘다 바보 같다 친절하다 수술 하다 주시 다시 웃다 맞이 해주다 감사하다']"
20,['미리 중성 하다 수술 하다 유선 종양 중성 안 해주다 자다 생기다 질환 하다 도덕 이유 안 해 준 제 과거 원망 스럽다 다행하다 실력 좋다 원장 만나다 저희 꼬마 건강하다 정말 감사하다 저 때문 꼬마 되다 것 같다 속상하다']
