,pcomment
0,['']
1,['']
2,['']
3,"['아이비 동물병원 이용 후기 탈장 수술 건 아이비 동물병원 방문 하다 초기 병원 방문 하다 상태 심각하다 않다 수술 무사하다 자다 끝나다 수술 한지 얼마 안되다 회복 회복 되어다 좋다 원장 여러가지 설명 해주다 좋다 마이 펫 플러스 안녕하다 합리 동물병원 비용 기준 유기견 유기묘 예방 기초 만들다 마이 펫 플러스 이다 마이 펫 플러스 이용 하다 결과 만족하다 저희 마이 펫 플러스 운영 하다 보람 느끼다 있다 더욱 기쁘다 후기 글 작성 시 선물 증정 분 드림 이용 하다 업체 대한 후기 글 나 블로그 카페 커뮤니티 등 정보 공유 해주시 해당 글 대한 간단하다 평 마펫 이용 하다 업체 상품 평 후기 남기다 선물 보내다 드리다 저희 마이 펫 플러스 동물병원 비용 부담 제때 치료받다 못 방치 되다 유기 되다 동물 숫자 줄이다 보다 취지 운영 되다 있다 은 많다 동물병원 가격 공개 가격 인하 대해 거부 감 많다 병원 제휴 어려움 있다 나 지방 쪽 병원 협조 쉬다 않다 제휴 더디다 있다 마이 펫 플러스 더 노력 하다 있다 보호자 응원 힘 보태 시기 바라다 마이 펫 플러스 이용 방법 상품 구매 후 상품 인증 번호 병원 전화번호 문자 확인', '전화 예약 필수 평일 최소 원 전', '주말 주전 만약 수술 불가 및 단순 변심 상품 구매 문의 환불 청주시 환불 가능하다 병원 상품 함 수술 비용 마이 펫 플러스 구매 하다 때 특별하다 사항 없다 추가 비용 이용 가능하다 금액 이다 수술 부위 다르다 검사 및 상담 후 수술 보류', '추가 처치 및 검사', '처방 일수 등 추가 사항 있다 경우 비용 별도 발생 하다 있다 보호자 동의 진행 되다 마이 펫 플러스 있다 가능하다 합리 저렴하다 동물병원 가격 비교 구매 병원 예약 후 이용 연륜 경험 풍부하다 원장 진료 가격 낮다 의료 퀄리티 높아지다 바가지 요금 걱정 투명하다 수술 프로세스 사전 확인 비교 수술 비 저렴하다 수술 대충 해주다 저가 재료 쓰다 않다 병원 결제 마이 펫 플러스 구매 해주다 때 마이 펫 플러스 사이트 유지 되다 있다 국내 최초 반려동물 전문 소셜 마이 펫 플러스 반려 인과 반려동물 권리 지키다 가다']"
4,['이제 안 아프다 좋다 강아지 배쪽 뭐 불 하다 나오다 종양 줄 알다 탈장 하다 제 첫 강아지 탈장 말 무섭다 눈물 질질 흘리다 가다 제 울면 강아지 불안하다 하다 자다 달래다 감사하다 다행하다 저희 강아지 수술 정말 자다 끝내다 지금 날아다니다 있다 학생 부담스럽다 금액 수술 되다 보다 걱정 하다 도중 마펫 안 거 거들다 원장 감사하다 마이 펫 플러스 감사하다']
5,"['수술 자다 받다 병원 좋다', '원장 간호사 선생님 친절하다 수술 자다 돼다 은', '감사하다 배꼽 탈장 수술 받다 수술 자국 거의 없다 예쁘다 해주다 감사하다 가격 저렴하다 선생님 간호사 선생님 설명 것 것 친절하다 자다 해주다 성', '고양이 탈장 수술 후기 고양이 탈장 크다 문제 아니다 이야기 들어서다 그냥 두다', '크기 계속 커지다 딱딱하다 수술 하다 돼다 성묘 겁 많다 아이 걱정 많다 수술 받다 오다 대견하다', '수술 자다 되어다']"
6,"['감사하다 서혜부 탈 장기 있다 일상 생활 크다 지장 없다 수술 안 시키다 있다 최근 변비 걸리다 수술 하다 하다 하다 수술 시키다 주다 원래 다니다 병원 마이 펫 하다 계시다 저렴하다 믿다 이용 하다 수 있다 감사하다 김', '후기 어리다 때 조그만 하다 나이 먹다 커지다 수술 시키다 주다 선생님 친절하다 수술 자다 해주다']"
7,"['수술 자다 돼다 선생님 넘다 친절하다 설명 해주다 수술 자다 돼다', '간호사 분 친절하다 가격 저렴하다']"
8,"['탈장 수술 수술 무사하다 자다 끝나다 집 복귀 하다 꼬매 부위 안 크다', '예쁘다 자다 아물다 것 같다 감사하다 마이 펫 플러스 직원 친절하다 당황 하다 전화하다 애기 어디가 아프다 물어보다 정이 많다 심 느끼다 전 행복하다 동물병원 강 추하다 마이 펫 플러스 자주 이용 하다 마이 펫 플러스 안녕하다 마이 펫 플러스 이다 마이 펫 플러스 후기 이벤트 참가 방법', '블로그', '카페', '커뮤니티 등 이용 업체 대한 솔직 후기 작성 마이 펫 플러스 로그인 이용 상품 구매 평 간단하다 후기 해당 남다 익월 이후 당첨 글 내 이름 확인 하다 당첨 주의 사항 등 후기 글 남다 때', '마이 펫 플러스 를 통한 임 꼭 밝히다 것 저희 마이 펫 플러스 동물병원 비용 부담스럽다 제때 치료받다 못 방치 되다 유기 되다 동물 숫자 줄이다 보다 취지 운영 되다 있다 대다수 동물병원 지방 쪽 이 할인 되다 비용 공개 하다 꺼리다', '마이 펫 플러스 입점 자체 거부 있다 마이 펫 플러스 더욱 힘내다 하다 수 있다 보호자 응원 힘 보태 줄다 저희 마이 펫 플러스 위 보호자 응원 필요하다', '마이 펫 플러스 역할 바가지 요금 걱정 동물병원 별 합리 저렴하다 가격 비교 가능 연륜 경험 풍부하다 장님 입점 비용 낮다', '의료 퀄리티 높다 수술 프로세스 투명 공개 전 프로세스 사전 확인 가능 서울시 수의사 협회', '마이 펫 플러스 제휴 병원 탈퇴 협박 공문 관련 기사 동물병원 비용 합리 기준', '유기견 유기묘 예방 기초 만들다 가다 반려동물 전문 소셜 마이 펫 플러스 반려 인과 반려동물 권리 지키다 가다 황', '수술 미루다 하다 마취 무섭다 수술 미루다 계속 커지다 이건 도저히 아니다 같다 수술 시키다 주다 다행하다 기초 검사 혈청 검사 크다 문제 없다 마취 들어가다 수술 발사 하다 수술 자국 남다 자다 버티다 장하다 수술 비도 상당하다 저렴하다 감사하다 솔', '감사하다 배꼽 탈장 있다 나중 어리다 때 해주다 나다 같다 수술 시키다 주다 아프다 시무룩하다 그 모습 귀엽다 수술 자다 이기다 내다 마취 자다 일어나다 사료 안 먹다 하다 고기 먹다 하다 영양식 해주다 하다 같다 수술 자다 해주다 감사하다']"
9,['감사 집 처음 데려오다 때 부터 배 뽈록한 있다 그때 별로 안 커서 수술 안 시키다 주다 나이 점점 들어가다 것 커지다 수술 시키다 주다 자다 돼다 수술 하다 집 온 날 자다 지내다 감사하다']
