,pcomment
0,"['좋다 수술 돼다 입원 기간 보내다 회복하다 중이 퇴원 처음 다리 수술 곳 불편하다 앉다 자다 하다 걱정 하다 주가 지나가다 지금 앉다 시작 하다 한시름 놨네 대신 점프 하다 걸 다시 하다 시작 하다 주의 시키다 중 이다 아이 믿다 맡기다 곳 감사하다 조', '수술 돼다 친절하다 원장 덕 수술 하다 회복 하다 중 이다 일간 입원 불안하다 하다 걱정 많다 전화하다 간호사 사진 찍다 보내다 신경 써다 주다 같다 좋다 결과 믿다 아이 맡다 되다 곳 감사하다 이', '슬개골탈구 일주일 전 슬개골탈구 수술 하다 후기 쓸다 까맣다 하다 잘됏으 하다 마음 쓰다 우선 다른 동물병원 저희 강아지 슬개골탈구 한쪽 기 한쪽 기 판정 받다 비사 덥다 하다 안 알다 대뜸 혈액 검사 하다 수술 되다 둥 엑스레이 찍다 하다 번더 찍다 하다 완전 황당하다 가격 부르다 지금 생각 하다 황당헤 친절하다 말 하다 모르다 진짜 거두 절미 검색 군데 알아보다 마이 펫 플러스 알 되어다 집 석촌동 바로 옆 동네 있다 병원 덥다 송파구 달느 동물병원 있다 하다 여기 더 가깝다 여기 햇 긴가민가하다 기 넘어가다 전 수술 하다 주다 낫다 싶다 기이 가격 올라가다 마이 펫 사장 얼른 수술 하다 주어 나중 생각 하다 좋다 하다 고심 끝 결정 하다 방문 하다 때 외관 진짜 깔끔하다 저 마펫 구매 가면 분명 불친절하다 거 생각 별로 환불 하다 생각 방문 하다 정말 친절하다 꼼꼼하다 보다 민망하다 정도 이다 양쪽 수술 자다 마치다 수술 후 찍다 사진 보아 되다 게 보이다 물음표 살인마 질문 폭탄 이다 짜증 한번 내다 자다 설명 해주다 감사하다 일주일 안 지나다 완벽하다 수술 이다 따다 판단 하다 어렵다 원장 친절하다 수술 부위 깔끔하다 장 아지 자다 회복하다 있다 보다 괜찮다 병원 것 같다 감사하다 구', '동생 강아지 자다 수술 오다 달 되다 회복 중이 완치 하다 후기 쓰다 남기다 수술 받다 요청 하다 사진 주다 안부 알다 어렵다 수술 아니다 상담 하다 때 자신감 있다 하다 심하다 무리하다 않다 괜찮다 회복 중이 수술 자다 해주다 감사하다']"
1,['']
2,['']
3,['']
4,['']
5,['']
6,['발가락 골절 강아지 발가락 어떻다 부러지다 하다 저희 강아지 부러지다 가격 천차만별 마이 펫 플러스 고객 센터 전화하다 자문 구 하다 사진 하다 보내다 다음 마루 동물병원 가다 골절 있다 병원 얼마 없다 다행하다 제 잠실 살다 가깝다 곳 잇엇어 발가락 골절 구매 하다 가다 정말 깔끔하다 별다르다 이상 발가락 골절 추가 비용 없다 다시 생각 하다 아찔하다 하다 황당하다 내복약 자다 받다 먹이 있다 먹기 싫다 처음 안 먹다 하다 거 사료 섞다 주 자다 먹다 원장 정말 감사하다 앞 저희 강아지 주의 자다 시키다']
7,['강아지 이제 자다 걷다 뛰다 저희 강아지 이름 마침 마루 슬개골탈구 수술 마루 동물병원 자다 돼다 기일 끄다 걱정 하다 다행하다 기 하다 수술 자다 마치다 저렴하다 사실 걱정 하다 저렴하다 절대 대충 하다 정말 꼼꼼하다 진료 보시 당일 수술 바로 들어가다 하다 달 정도 지나다 마루 이제 곧잘 뛰다 원장 개월 지켜보다 하다 강아지 있다 하다 더 지켜보다 가끔 다리 들다 행동 하다 워낙 저희 마루 엄살 심하다 일단 지켜보다 있다 첫날 밥 자다 안 먹다 집 있다 이제 먹다 감사하다 원장']
8,['대퇴골 제거 수술 안녕하다 초코 보호자 이다 우선 무사하다 수술 해주다 원장 감사하다 마이 펫 플러스 방송 나오다 거 보고 무작정 구매 하다 예약 찾아가다 별다르다 검색 찾다 왓 요 어찌 보다 모험 급하다 집 가난하다 차마 저희 가게 앞 버려진 강아지 무시 하다 없다 강아지 버리다 놈 천벌 받다 것 이다 마이 펫 플러스 먼저 자문 구 대퇴골 제거 수술 구매 가라 하다 마침 제일 가깝다 동물병원 여기다 상품 구매 가다 강아지 도 모르다 저 이렇다 책임감 도대체 어디 나오다 건지다 수술 무사하다 자다 마치다 정말 감사하다 이 가앙 저희 키우다 하다 어떻다 하다 번 버려진 아이 또 버리다 지금 건강하다 온 집안 들다 쑤시다 다니다 병원 방문 하다 일이 더 생기지 않다 좋다 또 방문 하다 되다 곳 방문 싶다 감사하다']
9,['추천 하다 동물병원 슬개골탈구 걱정 많다 지인 추천 해주다 사랑 동물병원 수술 하다 되어다 이제 아프다 않다 자다 걸다 다니다 더 해주다 하다 미안하다 정도 진작 서두르다 껄 무척 친절하다 우리 아이 걱정 편하다 수술 받다 해주다 정말 고맙다']
10,['']
11,['']
12,['강아지 나르다 다니다 여기 수술 받다 미키 이제 나르다 원장 넘다 감사하다 마이 펫 플러스 감사하다']
13,['']
14,['']
15,"['애가 다리 거의 써다 이제 딛다 수술 감사하다 다른 곳 사실 더 저렴하다', '집 제일 가깝다 기도 하다 원래 다니다 곳 저렴하다 그냥 가다 수술 자다 돼다 친절하다 하다 마이 펫 플러스 자주 애용 하다 것 같다 마이 펫 플러스 안녕하다 합리 동물병원 비용 기준 유기견 유기묘 예방 기초 만들다 마이 펫 플러스 이다 앞 마이 펫 플러스 응원 해주다 바라다 마이 펫 플러스 이용 하다 후 후기 글 작성 시 선물 증정 분 드림 이용 하다 업체 대한 후기 글 나 블로그 카페 커뮤니티 등 정보 공유 해주시', '해당 글 간단하다 평 마펫 이용 하다 업체 상품 평 후기 남기다 선물 보내다 드리다 저희 마이 펫 플러스 동물병원 비용 부담 제때 치료받다 못 방치 되다 유기 되다 동물 숫자 줄이다 보다 취지 운영 되다 있다 은 많다 동물병원 가격 공개 가격 인하 대해 거부 감 많다 병원 제휴 어려움 있다 나 지방 쪽 병원 협조 쉬다 않다 제휴 더디다 있다 마이 펫 플러스 더 노력 하다 수 있다 보호자 응원 힘 보태 시기 바라다', '마이 펫 플러스 이용 방법 상품 구매 후 상품 인증 번호 병원 전화번호 문자 확인', '전화 예약 필수 평일 최소 원 전', '주말 주전 만약 수술 불가 및 단순 변심 상품 구매 문의 환불 청주시 환불 가능하다 병원 상품 함 수술 비용 마이 펫 플러스 구매 하다 때 특별하다 사항 없다 추가 비용 이용 가능하다 금액 이다 수술 부위 다르다 검사 및 상담 후 수술 보류', '추가 처치 및 검사', '처방 일수 등 추가 사항 있다 경우 비용 별도 발생 하다 있다 보호자 동의 진행 되다 마이 펫 플러스 있다 가능하다 합리 저렴하다 동물병원 가격 비교 구매 병원 예약 후 이용 연륜 경험 풍부하다 원장 진료 가격 낮다 의료 퀄리티 높아지다 바가지 요금 걱정 투명하다 수술 프로세스 사전 확인 비교 수술 비 저렴하다 수술 대충 해주다 저가 재료 쓰다 않다 병원 결제 마이 펫 플러스 구매 해주다 때 마이 펫 플러스 사이트 유지 되다 수 있다']"
16,['']
17,['대퇴골 탈구 견 묘 종 푸다 들다 나이 몸무게 암수 수 거주지 시 구 동대문구 예전 둘째 중성 햇던곳 첫째 대퇴골 탈구 되어다 급하다 수술 받다 일주일 입원 동안 해주다 감사하다 수술 자다 해주다 고맙다 얼른 예전 발 자다 뛰어다니다 좋다 오늘 실밥 풀다 의사 샘 넘다 착하다 좋다']
18,"['슬개골 수술 받다 오다 다른 병원 슬개골탈구 기 진단 받다 수술 비용 좀 나오다 다른 병원 알아보다 아이비 동물병원 가게 되어다 선생님 친절하다 보다 덕분 강아지 겁 내지 않다 빠르다 회복 이다 감사하다 이', '슬개골 수술 후기 슬개골 탈구 기 진단 받다 수술 하다 강아지 작고 어리다 수술 하다 괜찮다 걱정 하다 병원 원장 수술 해주다 고맙다 견디다 준 강아지 견 스럽다 오늘 퇴원 하다 이틀 케어 해주다 감사하다 강아지 컨디션 좋다 밥 먹다 좋다 여 늦다 후기 이렇다 올리다 이', '슬개골탈구 기 아가 슬개골탈구 기 진단 받다 수술 잡다 작다 아이 걱정 되다 연차 써다 의료 진 친절하다 저 안정 돼다 감사하다 기다 수술 아이 자다 견디다 눈물나다 입원 이제 퇴원 하다 아가 기분 좋다 보이다 이제 주의 하다 산책 하다 때 유모차 데리 다니다 구 진', '수술 하다 나이 많다 수술 하다 수 있다 지다 걱정 돼다 문의 남기다 친절하다 답변 해주다 감사하다 경력 많다 원장 선생님 깔끔하다 수술 해주다 감사하다 오늘 퇴원 하다 괜찮다 보 다행 요 정말 감사 드리다 정', '만족하다 수술 결과 좋다 무엇 병원 계시다 분 친절하다 만족스럽다 강아지 수술 자다 견디다 예쁘다 맛있다 간식 사주다 작다 녀석 중성 수술 해주다 여기 해주다 거리 가깝다 정말 좋다 여 이', '슬개골탈구 수술 하다 코코 슬개골탈구 기 진단 받다 수술 하다 퇴원 하다 이제 데리 오다 후 처치 깔끔하다 좋다 설명 해주다 만족하다']"
19,['']
20,['슬개골탈구 수술 후기 이다 슬개골탈구 수술 자다 끝나다 되어다 후기 남기다 늦다 않다 시기 슬개골탈구 증상 확인 하다 걱정 앞서다 수 없다 걱정 하다 것 다르다 빠르다 회복하다 예전 아프다 않다 정말 다행 이다']
