,pcomment
0,['']
1,"['수술 자다 끝내다 수술 돼다 친절하다 원장 덕 수술 하다 회복 하다 중 이다 일간 입원 불안하다 하다 걱정 많다 전화하다 간호사 사진 찍다 보내다 신경 써다 주다 같다 좋다 결과 믿다 아이 맡다 되다 곳 감사하다 장', '원장 감사하다 마이펫 보고 병원 알 되다 다행 생각 하다 원래 다니다 병원 아니다 노령견 걱정 하다 수술 꼼꼼하다 해주다 엑스레이 개 보이다 원장 정말 작다 발견 하다 완벽하다 제거 해주다 걸 보다 지나가다 몇개 월뒤 또 문제 돼다 다행 원장 확고하다 철저하다 신분 같다 노령견 망설이다 제 믿다 맡기다 있다 진짜 좋다 선생님 만나다 수술 되어다 회복하다 있다 이렇다 말 하다 되다 모르다 마이 펫 보고 오다 입원 비도 받다 약도 그냥 주시 느낌 아이 위해 그냥 열정 쏟다 분 같다 병원 다른 느끼다 꼬맹이 위해 고생 많다 감사하다']"
2,['']
3,"['건강하다 자다 놀다 있다 부터 산책 나가다 마킹 하다 때 피 조금 보이다 시간 흐르다 점점 더 심해지다 병원 가다 진찰 해보다 결석 하다 수술 방법 없다 하다 수술 비 물어보다 백만원 정도 나오다 강아지 수술 비 비싸다 익히다 알다 있다 부담 되다 고민 하다 차 마이 펫 플러스 알 되다 아주 저렴하다 수술 하다 원장 나이 많다 보이다 좀 걱정 하다 수술 자다 해주다 병원 청결 보통 울 강쥐 건강하다 자다 살 있다 왕', '건강하다 자다 놀다 있다 친절하다 상담 해주다 치석 심하다 입냄새 자주 나다 겉 보기 지저분하다 보 스케일링 시키다 싶다 불행 다행 결석 인하다 수술 하다 상황 마취 하다 때 스케일링 시키다 입냄새 완전 없어지다 뽀뽀 하다 괜찮다 감사하다']"
4,['']
5,"['원장 훌륭하다 인품 실력 하니 병원 길냥이 맘 애견 애묘 카페 등 입 소문 자자하다 병원 개인 동물 입장 최우 선적 생각 하다 원장 인품 반한 병원 이다 마이 펫 플러스 후기 둘러보다 불친절하다 후기 있다 하니 병원 보호자 눈 비치다 친절하다 보다 동물 꼭 필요하다 최우 선적 훌륭하다 치료 행 하다 병원 여러 선생님 계시다 때문 성향 따르다 불친절하다 느껴지다 분 있다 생각 되다 원장 상담 해보다 원장 수술 경험 하다 보다 왜 입 소문 자자하다 좋다 병원 알 되다 마이 펫 플러스 방광 결석 수술 구매 후 전화 예약', '방문 후 상품 번호 수술 과정 간편하다 신속하다 진행 되어다 원장 훌륭하다 수술 우리 강아지 결석 제거 하다 애견 애묘 비용 크다 부담 마이 펫 플러스 제휴 병원 저렴하다 비용 훌륭하다 의술 단비 같다 않다 다시 생각 해보다 계기 되어다 결론 하니 병원 추천 하다']"
6,"['방광 결석 수술 해주다 감사하다 수술 째다 부다 원래 컨디션 찾다 병원 입원 권유 하다 수술 다음 날 뛰어다니다 애 보다 입원 집 회복 시키다 정말 질 하다 생각 듭니 수술 잘해주다 원장 감사하다 정', '블로그 후기 작성 완료 후기 등록 저렴하다 빠르다 결석 제거 수술 자다 되어다 상처 자다 아물다 있다 같다 수술 이틀 뛰어다니다 엑스레이 보이지 않다 초음파 보이다 흔하다 않다 결석 걱정 하다 자다 제거 되다 같다 다행 이다 결석 나타나다 특징 모양 암모늄 유 레이 트 같다 선생님 친절하다 우리 루이 매일 잔뇨감 패드 위 계속 서다 실수 하다 수술 이틀 이다 소변 콸콸 눈 띄다 자다 누 모습 감동 하다 정', '결석 자다 제거 되어다 저렴하다 빠르다 결석 제거 수술 자다 되어다 상처 자다 아물다 있다 같다 수술 이틀 뛰어다니다 엑스레이 보이지 않다 초음파 보이다 흔하다 않다 결석 걱정 하다 자다 제거 되다 같다 다행 이다 결석 나타나다 특징 모양 암모늄 유 레이 트 같다 선생님 친절하다 우리 루이 매일 잔뇨감 패드 위 계속 서다 실수 하다 수술 이틀 이다 소변 콸콸 눈 띄다 자다 누 모습 감동 하다 김', '수술 하다 방광 결석 있다 우리 또치 수술 하다 수술 자다 돼다 만족스럽다 볼 일 보다 불편하다 보이지 않다 기분 좋다 보이다 고맙다 나', '수술 하다 강아지 혈뇨 보다 검진 받다 방광 결석 이다 마취 수술 진행 하다 수술 결과 자다 끝내다 좋다 방광 상태 나쁘다 건 아니다 다행 이다 수술 해주다 감사하다']"
7,['']
8,"['수술 후기 부터 오줌 살 때 뭔가 불안하다 같다 아프다 같다 병원 데려가다 결석 양도 많다 제거 하다 않다 더 심해지다 하다 수술 권유 하다 알아보다 마이 펫 알 되어다 아이엠 집 가깝다 아이엠 결제 검사 받다 수술 진행 하다 지금 컨디션 좋다', '오줌 눌 때 통증 이렇다 것 없다']"
9,['']
10,['만족스럽다 수술 후기 강아지 순간 혈뇨 보다 걱정 하다 찾아오다 병원 이다 원장 친절하다 수술 군더더기 깔끔하다 진행 되어다 저희 하늘 이제 편하다 화장실 가다 감사하다']
11,['']
12,"['강아지 소변 최근 들다 혈뇨 보기 하다 애기 오줌 참다 것 같다 방문 하다 걱정 하다 것 방광 결석 생기다 그렇다 거 이다 미안하다 수술 후 집 돌아오다 처음 조금 힘들다 이제 화장실 자다 가다 감사하다 김', '제거 술 후기 소변 볼때 혈변 나오다 병원 데려가다 결석 있다 제거 하다 하다 그렇다 검사 받다 병원 검사 비도 나오다 결석 제거 비용 비싸다 알아보다 카페 마이 펫 플러스 알 되어다 저렴하다 수술 자다 받다 이제 소변 보다 단계 이다 수술 자다 돼다']"
13,['유용하다 강사 모에 보다 때 광고 겠다 생각 지나치다 아프다 응급 상황 되다 보다 정말 유용하다 집 가깝다 곳 정 하다 가격 좋다 친절하다 안심 하다 돼다 수술 후 날 힘들다 날 기운 차리다']
14,['']
