,Unnamed: 0,hname,rname,area,comment,rating,commentcounts,feature
0,0,심바동물병원,요도·방광 결석 제거 수술,rock,[],none,0,['none']
1,1,잠실준25시동물병원,요도·방광 결석 제거 수술,rock,"[' 2020-04-30\n수술 잘 끝냈습니다ㅎㅎ\n수술 잘됐어요\n친절하신 원장님 덕에 수술 잘하구 회복 잘하는 중입니다 1주일간의 입원이 불안하기도 하고 걱정이 많았는데 전화하면 간호사분들이 사진도 찍어서 보내주시고 신경써 주시는것 같아 좋았어요! 결과적으로 믿고 아이 맡기셔도 되는 곳이에요 감사합니다ㅎㅎ\n장', ' 2020-04-07\n원장님 감사합니다\n마이펫을 보고 이병원을 알게된것이 다행이라 생각해요 원래 다니던 병원이 아니고 노령견이라 많이 걱정했는데 수술 꼼꼼히 잘해주셨어요 엑스레이상 두개만 보였는데 원장님이 정말 작은거까지 발견하여 완벽하게 제거해주셨어요 이걸못보고 지나갔음 몇개월뒤에 또 문제가 됐을거래요..너무 다행이에요 원장님께서 확고하시고 철저하신분 같아요 그래서 노령견이라 망설였던 제가 믿고 맡길수 있었어요 진짜 좋은 선생님 만나서 수술도 잘되었구 잘회복하고 있어요 그리고 이런거 말해도 되는지 모르겠지만 마이펫보고 왔다고 입원비도 안받으시고 약도 그냥 주시고..느낌이 아이를 위해 그냥 열정을 쏟으시는분같았어요 다른병원이랑 다른 느낌이였어요 꼬맹이 위해서 고생많으셨습니다 감사해요^^']",5.0,2,"['많다', '좋다']"
2,2,보람동물병원,요도·방광 결석 제거 수술,rock,[],none,0,['none']
3,3,마루동물병원,방광결석 제거수술,rock,"[' 2020-04-28\n건강하게 잘 놀고 있어요\n언젠가부터 산책나가서 마킹할때마다 피가 조금 보였는데 시간이 흐르면서 점점 더 심해져서 병원가서 진찰해보니 결석이라하더라고요\n수술방법밖에 없다고 해서 수술비 물어보니 백만원정도 나오더라고요\n강아지수술비 비싼거 익히 알고는 있었지만 너무 부담되서 고민하던차에 마이펫플러스 알게되서 아주 저렴하게 수술했습니다\n원장님 나이가 많아보이셔서 좀 걱정했는데 수술 잘 해주셨더라고요\n병원 청결은 보통이지만 울 강쥐 건강하게 잘 살고 있어요~~^^\n왕', ' 2020-04-28\n건강하게 잘 놀고 있어요\n친절하게 상담 해주셨어요~~  치석이 심해서 입냄새 자주 나고 겉으로 보기에도 지저분해 보여서 스케일링 시켜주고 싶었는데  불행인지 다행인지 결석으로 인해 수술해야하는 상황이라 마취할때 같이 스케일링 시켰어요  입냄새 완전 없어져서 뽀뽀하는것도 괜찮아요ㅎㅎ 감사합니다^^']",none,2,"['강하다', '건강하다']"
4,4,사랑동물병원,요도·방광 결석 제거 수술,rock,[],none,0,['none']
5,5,하니동물병원,요도·방광 결석 제거 수술,rock,"[' 2019-11-20\n원장님의 훌륭한 인품과 실력!\n하니병원은 길냥이 맘들과 애견 애묘 카페등에 입소문 자자한 병원으로 개인적으로 특히 동물의 입장을 최우선적으로 생각하는 원장님의 인품에 반한 병원입니다.\n마이펫플러스 후기들을 둘러보니 불친절하다는 후기들이 있던데 하니병원은 보호자의 눈에 비치는 친절함 보다 동물에게 꼭 필요하고 최우선적인 훌륭한 치료를 행하는 병원이고 여러 선생님들이 계시기 때문에 성향에 따라 불친절하기 느껴지는 분들도 있다고 생각됩니다. \n원장님과 상담해보시고 원장님의 수술을 경험해 보면 왜 입소문 자자한 좋은 병원인지 알게됩니다.\n\n마이펫플러스에서 방광결석수술 구매후 전화예약, 방문후 상품번호 그리고 수술의 과정이 간편하고 신속하게 진행되었고 원장님의 훌륭한 수술로 우리 강아지의 결석을 제거하였습니다.\n\n애견 애묘인들에게 비용도 큰 부담인데 마이펫플러스에 제휴한 병원들의 저렴한 비용과 훌륭한 의술은 단비와도 같지 않을까 다시 생각해보는 계기가 되었네요!\n\n결론은 하니병원 추천합니다!']",5.0,1,"['훌륭하다', '친절하다']"
6,6,아이비동물병원,방광결석 제거수술,rock,"[' 2020-03-31\n방광결석\n수술 잘해주셔서 너무 감사합니다 수술 3째부던 원래 컨디션 찾았네요 다른병원에선 4일동안 입원 권유했는데 수술다음날부터 뛰어다니는애를 보니 입원없이 집에서 회복시키길 정말 질했다 생각듭니다 수술 잘해주신 원장님 감사합니다 \n정', ' 2020-03-17\n블로그 후기작성 완료! [후기등록 URL]\n저렴하고 빠르게 결석제거 수술 잘 되었어요~\n상처도 잘 아물고 있는것 같아요! 수술 이틀째인데 뛰어다녀요ㅋㅋㅋㅋㅋ 엑스레이에는 보이지 않고 초음파에만 보이는 흔하지 않은 결석이라 걱정했는데 잘 제거된것 같아 다행입니다! 결석은 나타나는 특징과 모양상 암모늄 유레이트 같아요! 선생님도 친절하시고 우리 루이 매일 잔뇨감에 패드위에서 계속 서있고 실수 했는데 수술 이틀째 인데도 소변이 콸콸 눈에띄게 잘 누는 모습에 감동했습니다!\n정', ' 2020-02-24\n결석 잘 제거되었습니다!\n저렴하고 빠르게 결석제거 수술 잘 되었어요~\n상처도 잘 아물고 있는것 같아요! 수술 이틀째인데 뛰어다녀요ㅋㅋㅋㅋㅋ 엑스레이에는 보이지 않고 초음파에만 보이는 흔하지 않은 결석이라 걱정했는데 잘 제거된것 같아 다행입니다! 결석은 나타나는 특징과 모양상 암모늄 유레이트 같아요! 선생님도 친절하시고 우리 루이 매일 잔뇨감에 패드위에서 계속 서있고 실수 했는데 수술 이틀째 인데도 소변이 콸콸 눈에띄게 잘 누는 모습에 감동했습니다!\n김', ' 2019-05-03\n수술잘했어요\n방광결석이 있어서 우리 또치 수술했는데 \n수술 잘 돼서 만족스러워요 볼 일 봐도 불편해\n보이지 않고 기분도 좋아 보여요..고맙습니다^^ \n나', ' 2019-04-30\n수술잘했어요ㅠ\n강아지가 혈뇨를 보길래 검진 받으니 방광결석이였어요\n마취하고 수술 진행했고 수술결과 잘 끝내서 좋았습니다\n방광상태가 너무 나쁜 건 아니였어서 다행이였어요\n수술 잘해주셔서 감사합니다^0^']",5.0,5,"['빠르다', '저렴하다']"
7,7,노아동물병원,요도·방광 결석 제거 수술,rock,[],none,0,['none']
8,8,아이엠동물병원,방광결석 제거수술,rock,"[' 2019-02-27\n수술 후기\n언제부터인가 오줌을 살 때 뭔가 불안해하는거 같고 아파하는거 같아서 병원을 데려갔더니 결석이ㅠㅠㅠㅠ 양도 많고 제거 하지 않으면 더 심해진다고 하셔서 수술 권유 하셔서 알아보다가 마이펫 알게 되었네요. 아이엠이 집이랑 가까워서 아이엠 결제하고 검사받고 수술 진행했고 지금은 컨디션 좋아요, 오줌 눌 때 통증 이런 것도 없고 ㅎㅎ']",none,1,"['많다', '불안']"
9,9,우리동물병원,요도·방광 결석 제거 수술,rock,[],none,0,['none']
