,pcomment
0,"['솔직 후기 집 혼자 스케일링 해보다 하다 포기 병원 데리 오다 첫째 여기 마펫 있다 다른 동물병원 하다 여기 더 가깝다 심 바로 데리 가다 치석 깔끔하다 제거 됫습니 마이 펫 플러스 병원 하다 때 늘 만족 하다 가다 병원 운 좋다 건지다 감사하다 첫째 이제 여기 데리다 하다', '스케일링 자다 마치 오다 살이 기다 아래 어떻다 진행 되다 보고 겸사겸사 그냥 이상 하다 구매 하다 우선 제 호흡 마취 진행 원하다 하다 흉 복부 방사선 찍다 나쁘다 없다 것 같다 스케일링 하다 간 김 하다 사실 위 간식 주다 보다 가다 마펫통해 오다 간식 챙기다 주다 저희 강아지 제 더 기분 좋다 스케일링 상태 괜찮다 기적 여기 스케일링 진행 싶다']"
1,['꺠끗 스케일링 하다 깔끔하다 되어다 원장 친절하다 마취 되다 모습 보다 게 저 조금 힘들다 나중 데리다 갈다 떄 저희 딸 보내다 호흡 마취 진행 하다 그렇다 집 오다 서다 금방 회복 되다 모습 이다 감사하다 다음 또 방문 하다 선생님']
2,['스케일링 발치 견 묘 종 코숏 나이 몸무게 암수 수 거주지 시 구 용산 저희 주인 스케일링 발치 하다 오다 우선 다른 동물병원 다르다 영구치 발치 가격 있다 좋다 다른 곳 병원 확인 결정 되다 하다 요기 영구치 발치 가격 보이다 좋다 발치 아니다 이 조금 안 좋다 것 위주 일단 구매 하다 가다 더 필요하다 현장 어플 구매 하다 미리 마이 펫 플러스 물어 봣음 우선 원장 고양이 다루다 솜씨 좋다 신다 주인 저 여쭈다 보다 병원 상주 하다 고양이 몇 있다 하다 초반 예약 하다 떄 고양이 예민하다 여쭈다 보다 왜인 하다 상주 묘 격리 하다 하다 하다 의심 저 반성 정말 고양이 대한 사랑 동물 대한 사랑 느껴지다 곳 이다 저희 고양이 스케일링 완벽 아니다 초반 깨끗해지다 발치 깔다 금 되어다 그냥 두다 발치 필요하다 수 있다 조언 듣다 치아 관리 하다']
3,"['친절하다 치료 해주다 감사하다 동네 병원 가다', '전화하다 치료 비용 물어보다 얼버무리다 하다 비용 말 해주다 그 많다 애매하다 답변 받다', '', '리서치 하다 마이펫 알 돼다 처음 이용 해보다 솔직하다 걱정 돼다 취지 읽다 보다 괜찮다 생각 들어서다 예약 방문 하다 되어다 진료 기자 많다 한참 기다리다 하다 건 있다', '친절하다 설명 해주다', '무엇 강아지 섬세하다 신경 써주다 감사하다 앞 어떻다 관리 하다 하다 설명 자다 해주다 다녀오다 이후 더 신경 써다 관리 해주다 있다 강아지 마리 키우다 있다', '마리 스케일링 하다 재 방문 하다 감사하다']"
4,['앞 서교 동물병원 갈다 거 선생님 꼼꼼하다 진찰 해주시 친절하다 안내 해주다 좋다 노견 걱정 돼다 진찰 해주다 안심 무사하다 맡기다 현재 강아지 수술 후 상태 좋아지다 기분 좋다 마이 펫 덕분 좋다 병원 알 돼다 기쁘다']
5,['']
6,"['포메라니안 살 스케일링 후기 포메라니안 수컷 살 아가 스케일링 후기 이다 선생님 친절하다 자다 보다 치석 심하다 완전 애기 하얗다 되다 만족하다 마이펫 결제 하다 다르다 전혀 없다 것 같다 스케일링 추가 비용 없다', '치주염 진행 되다 상태 주사 맞다 일주 일치 약 처방 받다 정도 치료 비 내다 저 토요일 오전 가다 진료 대기 좀 길다 왠만하다 평일 가시다 거 추천 하다 미리 결제 전화 예약 데려가다 예약 하다 가다 진료 받다 수 있다 건 아니다', '', '병원 바쁘다 대기 하다 수 있다 저 정도 기다리다 스케일링 걸리다 맡기다 두다 스케일링 끝나다 전화 오다 데리다 가면 되다 저희 강아지 살때 데려오다', '그 전 하다 번 양치 시키다 않다 치석 심하다 상태 이다 치석 생기다 후 양치 자다 해주다 치석 사라지다 않다 잇몸 약해지다 하다 스케일링 시키다 주다 마이 펫 플러스 저렴하다 자다 하다 일반 동물병원 차이 나다']"
7,"['매우 만족하다 아이 마취 버티다 시간 뺏다', '선생님 다독이다 깔끔하다 스케일링 해주다 좋다 비용 저렴하다 약간 걱정 하다 기다 심장 사상충 약도 사다', '만족하다 앞 여기 병원 다니다 구해 선생님 감사하다 정', '병원 이예 일욜 구매 하다 월요일 예약 하다 화요일 스케일링 받다 주사 하다 마취 후 스케일링 받다 마취 조금 되다 평소 애기 발바닥 털 한번 다듬다 미리 준비 하다 간 발기 밀면 안되다 양하다 하다 흔쾌하다 허락 해주다 다듬다 발바닥 털다 다듬다 애가 자가 미용 있다 아주 악마 없다 고든 귀찮다 양치 시키다 어금니 거의 돌 덩이 수준 치석 끼다 약간 염증 끼 있다 스케일링 나니 아주 치아 되어다 이제 양치질 귀찮다 일주일 번은 시키다 요 여 틀다 깔끔하다 되어다 마음 놓이다 길동 외다 하다 강남 걸리다 조그만 하다 주차 하다 곳도 있다 작다 병원 이다 꼼꼼하다 솜씨 감동 이다 더 더군다나 스케일링 가격 천차만별 여기다 가격 착하다 착하다 후기 갈리다 저렴하다 가격 한번 가다 친구 톡방 올리다 추천 하다 양치 시키다 신분 속 늘다 셈 가보다 꼭 정', '입냄새 안 사실 저렴하다 사서 간다 대충 하다 걱정 하다 진짜 친절하다 꼼꼼하다 좋다 엄살 저희 강아지 바로 잠재우다 저 프리미엄 결재 하다 유치 발치 하다 뽑히다 있다 유치 하나 있다 애기 시원하다 하다 것 같다 외관 보다 때 화려하다 동물병원 아니다 문 앞 망설엿는데 겉 보다 제 부끄럽다 원장 따다 하다 분 기분 좋다 저희 강아지 스케일링 하다 가다 감사 힙니']"
8,"['입냄새 안뇽 스케일링 자다 받다 오다 몸무게 좀 나가다 애 안 되다 걱정 하다 여기다 몸무게 추가 되다 다행하다 커트라인 사실 가능하다 병원 찾다 후기 이렇다 것 못 보다 하다 온 것 같다 이제 강아지 뽀뽀 하다 수 있다 사실 좀 숨 참고 하다 주차장 아주 조오오오 금 멀다 무료 주차장 좋다 가격 대비 완전 만족스럽다 스케일링 진행 오다 감사하다 박', '스케일링 자다 받다 오다 마취 후 아가 상태 좀 안좋다 서비스 약도 주시 심야시간 전화번호 알다 좀 불안하다 하다 약 먹이다 다행하다 심야시간 전화 드릴 일 자다 회복하다 다음 아가 작다 마취 주의 부탁드리다 생각 들다']"
9,['고양이 발치 여기 하다 구취 심하다 상담 받다 가다 마이 펫 플러스 알 되어다 발치 이름 좀 무섭다 꺼리다 하다 안 하다 더 위험하다 하다 믿다 진행 하다 덕분 저희 고양이 괜찮다 감사하다']
10,"['갑 오브 갑 치료 치석 인하다 스케일링 치료 정말 친절하다 꼼꼼하다 자다 받다 혈액 검사 관리 설명 쉬다 자다 전달 해주다 완전 만족스럽다 알뜰 금액 치료 자다 받다 송', '스케일링 싸다 자다 치료 거 같다 실제 현장 결재 하다 가량 저렴하다 거 같다 송', '스케일링 스케일링 진행 하다 자다 설명 해주다 호흡 마취 하다 그렇다 아기 생각 회복 빨르다']"
11,"['친절하다 설명 해주다 견 묘 종 말티즈 나이 몸무게 암수 여 거주지 시 구 구로 엄마 대신 가다 친절하다 전화 자다 설명 해주다 좋다 집 가깝다 평소 다니다 싶다 예', '초코 스케일링 견 묘 종 말티 푸다 나이 몸무게 암수 수 거주지 시 구 양천 세라 결제 하다 불소 도포 폴리싱 있다 좋다 것 같다 치아 깨끗해지다 무엇 입냄새 안나 치카 치카 해 주다 생각 하다 더 꼼꼼하다 해 줫어 하다 보다 마취 모습 보 좀 스케일링 동안 나가다 기다리다 깨끗하다 해 주다 원장 감사하다 다음 또 갈다 배', '스케일링 처음 시키다 주다 입냄새 나다 스케일링 시키다 주다 입냄새 하나 안나 좋다 개껌 믿다 양치 대충 해주다 보다 이제 해주다 마이 펫 플러스 안녕하다 합리 동물병원 비용 기준 유기견 유기묘 예방 기초 만들다 마이 펫 플러스 이다 앞 마이 펫 플러스 응원 해주다 바라다 마이 펫 플러스 이용 하다 후 후기 글 작성 시 선물 증정 분 드림 이용 하다 업체 대한 후기 글 나 블로그 카페 커뮤니티 등 정보 공유 해주시', '해당 글 간단하다 평 마펫 이용 하다 업체 상품 평 후기 남기다 선물 보내다 드리다 저희 마이 펫 플러스 동물병원 비용 부담 제때 치료받다 못 방치 되다 유기 되다 동물 숫자 줄이다 보다 취지 운영 되다 있다 은 많다 동물병원 가격 공개 가격 인하 대해 거부 감 많다 병원 제휴 어려움 있다 나 지방 쪽 병원 협조 쉬다 않다 제휴 더디다 있다 마이 펫 플러스 더 노력 하다 수 있다 보호자 응원 힘 보태 시기 바라다', '마이 펫 플러스 이용 방법 상품 구매 후 상품 인증 번호 병원 전화번호 문자 확인', '전화 예약 필수 평일 최소 원 전', '주말 주전 만약 수술 불가 및 단순 변심 상품 구매 문의 환불 청주시 환불 가능하다 병원 상품 함 수술 비용 마이 펫 플러스 구매 하다 때 특별하다 사항 없다 추가 비용 이용 가능하다 금액 이다 수술 부위 다르다 검사 및 상담 후 수술 보류', '추가 처치 및 검사', '처방 일수 등 추가 사항 있다 경우 비용 별도 발생 하다 있다 보호자 동의 진행 되다 마이 펫 플러스 있다 가능하다 합리 저렴하다 동물병원 가격 비교 구매 병원 예약 후 이용 연륜 경험 풍부하다 원장 진료 가격 낮다 의료 퀄리티 높아지다 바가지 요금 걱정 투명하다 수술 프로세스 사전 확인 비교 수술 비 저렴하다 수술 대충 해주다 저가 재료 쓰다 않다 병원 결제 마이 펫 플러스 구매 해주다 때 마이 펫 플러스 사이트 유지 되다 수 있다 최', '믿다 맡기다 유선 종양 중성 수술 후 매번 믿다 맡기다 병원 친절하다 과잉 진료 설명 충분하다 자다 해주다 마이 펫 플러스 안녕하다 합리 동물병원 비용 기준 유기견 유기묘 예방 기초 만들다 마이 펫 플러스 이다 앞 마이 펫 플러스 응원 해주다 바라다 마이 펫 플러스 이용 하다 후 후기 글 작성 시 선물 증정 분 드림 이용 하다 업체 대한 후기 글 나 블로그 카페 커뮤니티 등 정보 공유 해주시 해당 글 대한 간단하다 평 마펫 이용 하다 업체 상품 평 후기 남기다 선물 보내다 드리다 저희 마이 펫 플러스 동물병원 비용 부담 제때 치료받다 못 방치 되다 유기 되다 동물 숫자 줄이다 보다 취지 운영 되다 있다 은 많다 동물병원 가격 공개 가격 인하 대해 거부 감 많다 병원 제휴 어려움 있다 나 지방 쪽 병원 협조 쉬다 않다 제휴 더디다 있다 마이 펫 플러스 더 노력 하다 있다 보호자 응원 힘 보태 시기 바라다 마이 펫 플러스 이용 방법 상품 구매 후 상품 인증 번호 병원 전화번호 문자 확인', '전화 예약 필수 평일 최소 원 전', '주말 주전 만약 수술 불가 및 단순 변심 상품 구매 문의 환불 청주시 환불 가능하다 병원 상품 함 수술 비용 마이 펫 플러스 구매 하다 때 특별하다 사항 없다 추가 비용 이용 가능하다 금액 이다 수술 부위 다르다 검사 및 상담 후 수술 보류', '추가 처치 및 검사', '처방 일수 등 추가 사항 있다 경우 비용 별도 발생 하다 있다 보호자 동의 진행 되다 마이 펫 플러스 있다 가능하다 합리 저렴하다 동물병원 가격 비교 구매 병원 예약 후 이용 연륜 경험 풍부하다 원장 진료 가격 낮다 의료 퀄리티 높아지다 바가지 요금 걱정 투명하다 수술 프로세스 사전 확인 비교 수술 비 저렴하다 수술 대충 해주다 저가 재료 쓰다 않다 병원 결제 마이 펫 플러스 구매 해주다 때 마이 펫 플러스 사이트 유지 되다 있다 신', '스케일링 후기 스케일링 자다 끝내다 입 냄새 사라지다 아이 워낙 양치 하다 걸 싫어하다 원장 말씀 하다 대로 정기 검진 받다 가격 대비 좋다 괜찮다']"
